floc,floc_description,work_order_id,work_order_basic_finish_date,work_order_desc,activity_type,level
AP005050,251.15KM ACCESS PT YAMALA-NOGOA,80104815,2021-08-03,SR_YAM_CablLoc_251.144km,T58,Corridor Access Pt
BR100039-91-01,Bridge 101.450km TRACK 1,80108260,2022-12-31,FY23 BW Bone Creek Up DCP Only,C20,Structure Track
BR100039-91-01,Bridge 101.450km TRACK 1,80116171,2024-05-19,SR_CABLE LOC_AROONA/DUARINGA UP,C20,Structure Track
BR100039-91-01,Bridge 101.450km TRACK 1,80116441,2024-06-03,SUP TSR AN-DA UP C20 BONE CREEK 101.346K,C20,Structure Track
BR100050-91-01,Bridge 60.740km TRACK 1,80114426,2023-12-01,C20-BR-BW-GOGANGO CK-DOWN-60.740KM,C20,Structure Track
BR100070-91-01,Bridge 105.430km TRACK 1,80109714,2022-10-06,SR_HR-INSTALL 105.250_ISO/BD,C20,Structure Track
BR100070-91-01,Bridge 105.430km TRACK 1,80110036,2022-10-18,Duaringa - Wallaroo Down - C20,C20,Structure Track
BR100070-91-01,Bridge 105.430km TRACK 1,80110388,2022-10-26,SR_BRIDGE WORKS_105.384_OH/HS/TB/BMF,C20,Structure Track
BR100070-91-01,Bridge 105.430km TRACK 1,80108832,2022-10-28,BBR BW Duaringa-Wallaroo 105.407-105.453,C14,Structure Track
BR100129-91-01,Bridge 163.730km TRACK 1,80108350,2022-12-31,FY23 BW Walton Creek Up DCP Only,C20,Structure Track
BR100129-91-01,Bridge 163.730km TRACK 1,80116264,2024-04-07,SR_CABLE LOC_PARNABAL/WALTON,C20,Structure Track
BR100129-91-01,Bridge 163.730km TRACK 1,80116092,2024-04-11,C20-BR-BW-WALTON CREEK-UP-163.638KM.,C20,Structure Track
BR100129-91-01,Bridge 163.730km TRACK 1,80116453,2024-04-17,SR_BOND/ELEC/AXLECOUNT/T&C/SA2_PAR/WALTO,C20,Structure Track
BR100141-91-01,Bridge 21.360km TRACK 1,80114422,2023-12-01,C20-BR-BW-NEERKOL CK-UP-21.360KM,C20,Structure Track
BR100175-91-01,Bridge 163.730km TRACK 1,80108351,2022-12-31,FY23 BW Walton Creek Dn DCP Only,C20,Structure Track
BR100175-91-01,Bridge 163.730km TRACK 1,80116172,2024-03-24,SR_CABLE LOC_PARNABAL/WALTON DOWN,C20,Structure Track
BR100175-91-01,Bridge 163.730km TRACK 1,80116265,2024-04-07,SR_CABLE LOC_PANABAL/WALTON,C20,Structure Track
BR100175-91-01,Bridge 163.730km TRACK 1,80116093,2024-04-11,C20-BR-BW-WALTON CREEK-DOWN-163.695KM.,C20,Structure Track
BR100175-91-01,Bridge 163.730km TRACK 1,80116454,2024-04-17,SR_BOND/ELEC/AXLECOUNT/T&C/SA2_PAR/WALTO,C20,Structure Track
BR100194-91-01,Bridge 187.050km TRACK 1,80114400,2023-08-07,C20-BR-BW-BLACKWATER CK-DOWN-187.025KM,C20,Structure Track
BR100244-91-01,Bridge 174.200km TRACK 1,80109713,2022-09-22,Bridge Rollouts Renewal (Duckworth Ck).,C20,Structure Track
BR100244-91-01,Bridge 174.200km TRACK 1,80109768,2022-09-25,Bridge Rollouts Renewal (Duckworth Ck).,C20,Structure Track
BR100244-91-01,Bridge 174.200km TRACK 1,80109440,2022-09-29,SR - TSR UP/DN RDs BLUFF - BOONAL,C20,Structure Track
BR100244-91-01,Bridge 174.200km TRACK 1,80108039,2022-11-15,BBR BW Bluff - Boonal 174.177-174.222km,C20,Structure Track
BR100264-91-01,Bridge 187.050km TRACK 1,80114399,2023-08-07,C20-BR-BW-BLACKWATER CK-UP-187.018KM,C20,Structure Track
BR100266-91-02,Bridge 15.333km TRACK 2,80114421,2023-08-07,C20-BR-BW- MIDDLE CREEK-UP-15.33KM,C20,Structure Track
BR100278-91-01,Bridge 96.820km TRACK 1,80108259,2022-12-31,FY23 BW Horseshoe Swamp Up DCP Only,C20,Structure Track
BR100278-91-01,Bridge 96.820km TRACK 1,80113195,2023-05-13,SR_BOND_AN-DA,C01,Structure Track
BR100278-91-01,Bridge 96.820km TRACK 1,80113395,2023-05-26,Aroona - Duaringa Up - C20,C20,Structure Track
BR100447-91-01,Bridge 133.020km TRACK 1,80106665,2022-02-21,Bdg RO (Bridgewater Ck)_ISO/BD,B04,Structure Track
BR100447-91-01,Bridge 133.020km TRACK 1,80106844,2022-03-03,Bridge Rollouts_Bridgewater Ck_Bonding,C20,Structure Track
BR100447-91-01,Bridge 133.020km TRACK 1,80106845,2022-03-04,Bridge RO_Bridgewater Ck_ISO/H&S/BD/BMF,C20,Structure Track
BR100447-91-01,Bridge 133.020km TRACK 1,80107163,2022-04-03,Bridge Rollouts (Bridgewater Ck)_ISO/BD,C20,Structure Track
BR100481-91-01,Bridge 133.020km TRACK 1,80106664,2022-02-21,Bdg RO Handrails (Bridgewater Up)_ISO/BD,B04,Structure Track
BR100481-91-01,Bridge 133.020km TRACK 1,80106841,2022-02-28,Bridge Rollouts_Bridgewater Up_Bonding,C20,Structure Track
BR100481-91-01,Bridge 133.020km TRACK 1,80106843,2022-03-02,Bridge RO_Bridgewater Up_ISO/H&S/BD/BMF,C20,Structure Track
BR100481-91-01,Bridge 133.020km TRACK 1,80104493,2022-03-08,BBR BW Tryphinia-Dingo 132.95-133.110 Up,C20,Structure Track
BR100481-91-01,Bridge 133.020km TRACK 1,80107164,2022-04-04,Bridge Rollouts (Bridgewater Up)_ISO/BD,C20,Structure Track
