Index,Maintenance Product,Frequency Required,Frequency Unit
1,Ballast Undercutting,600,MNT
1,Ballast Undercutting -Turnouts,600,MNT
1,Track Resurfacing,50,MGT
1,Turnout Resurfacing,80,MGT
1,Rail Grinding: Straights,40,MGT
2,Rail Grinding: High Rail Mild Curve,40,MGT
3,Rail Grinding: Low Rail Mild Curve,40,MGT
4,Rail Grinding: High Rail Sharp Curves,20,MGT
5,Rail Grinding: Low Rail Sharp Curves,20,MGT
1,Turnout Grinding,40,MGT
1,Track Geometry Recording,3,Month
2,Track Geometry Recording,6,Month
1,General Track Maintenance Activities,,Fix on failure
1,Track Inspections,192,Hours
2,Track Inspections,96,Hours
3,Track Inspections,48,Month
4,Track Inspections,12,Month
1,Turnout Maintenance,,Fix on failure
1,Rail Flaw Detection,10,MGT
2,Rail Flaw Detection,14,Days
3,Rail Flaw Detection,28,Days
1,Rail Lubrication,,Continuously
1,General Earthworks Maintenance (incl. access roads),1,Year
1,Fencing,1,Year
1,Fire and Vegetation Control,12,Weeks
1,GPR / PVC Inspecting and Testing,1,Year
2,GPR / PVC Inspecting and Testing,2,Year
3,GPR / PVC Inspecting and Testing,,Condition Based
1,Level Crossing ALCAM Assessments,5,Year
1,Inspections,,Condition Dependent
1,Culvert Repairs,,Condition Dependent
1,Concrete Bridge Repairs,,Condition Dependent
1,Steel Bridge Repairs,,Condition Dependent
1,Timber Bridge Repairs,,Condition Dependent
1,Retaining Wall and Ancillary Structures Repairs,,Condition Dependent
1,Pest & Vegetation Control,,Included in maintenance of that structure
1,Signals (electric and mechanical),52,Weeks
1,"Points (mechanical, electric, electro-hydraulic, and hydraulic)",8.66,Weeks
2,"Points (mechanical, electric, electro-hydraulic, and hydraulic)",52,Weeks
1,Points Monitoring,,Fix on failure
1,Signal Gantry and Cantilever,52,Weeks
1,Level Crossing Warning Control,1,Weeks
2,Level Crossing Warning Control,13,Weeks
3,Level Crossing Warning Control,52,Weeks
1,RTC Crew Crossing,13,Weeks
1,Level Crossing Camera and Surveillance System,,Fix on failure
1,Over Height Level Crossing Protection,1,Days
2,Over Height Level Crossing Protection,30,Days
3,Over Height Level Crossing Protection,90,Days
1,Copper Cable Route - Underground,26,Weeks
1,Housings (Apparatus Case & Hut),52,Weeks
1,"Housings (Equipment Room - SER, CER, PER, ALT, UPS and Inverter)",26,Weeks
2,"Housings (Equipment Room - SER, CER, PER, ALT, UPS and Inverter)",52,Weeks
1,Interlocking,26,Weeks
2,Interlocking,,Fix on failure
1,"Weather Station (Modem, Camera, Data Taker, Flood Detection Switch, Infrared Illuminator, Radio)",26,Weeks
2,"Weather Station (Modem, Camera, Data Taker, Flood Detection Switch, Infrared Illuminator, Radio)",52,Weeks
3,"Weather Station (Modem, Camera, Data Taker, Flood Detection Switch, Infrared Illuminator, Radio)",,Fix on failure
1,Coal Dust Monitors,3,Months
1,Overload Detectors,13,Weeks
2,Overload Detectors,26,Weeks
3,Overload Detectors,104,Weeks
4,Overload Detectors,156,Weeks
1,Overload Detectors,,Test Train Calibration as required
1,"Remote Weigher Interface, Train Load Out Application, UPS, Automatic Equipment Identification",,Fix on failure
1,Rollingstock Monitors - Acoustic Bearing Monitor (RailBAM),17,Weeks
2,Rollingstock Monitors - Acoustic Bearing Monitor (RailBAM),,Fix on failure
