,ILART_MaintenanceActivityTypeID,AverageCost
0,C72,8722.896473
1,NGR,451.88217
2,C44,25206.133592
3,B16,2896.38
4,XC1,67780.67
5,P02,3128.987324
6,F01,7961.766666
7,B08,6497.42
8,SER,24873.547555
9,T10,264435.252631
10,A13,48262.450937
11,C15,11913.078888
12,NRF,10856.684285
13,C61,92011.9164
14,RMO,6127.33169
15,P22,665.365
16,C17,157758.275831
17,C04,6883.297307
18,C05,75313.764976
19,T05,2976.9
20,E21,14808.058888
21,UPG,72785.628571
22,T78,138012.491666
23,T25,43221.622835
24,C07,16786.776666
25,C65,7673.65
26,T65,39578.105
27,Z04,46901.667407
28,T58,2074.202748
29,T02,5964.291006
30,T12,10967.827777
31,B52,132790.55572
32,C09,7071.33909
33,C14,52267.556415
34,E23,71317.1825
35,E13,67251.848068
36,C18,200389.963577
37,C52,25704.698666
38,EPM,2717.552
39,P09,7948.18
40,S15,109316.082727
41,T53,27606.38
42,S12,749.8
43,C10,5024.389426
44,T16,21401.475555
45,E31,2015.194329
46,T32,13360.253846
47,T27,19484.759375
48,C70,6178.837472
49,A15,91020.608333
50,T46,2207.222083
51,C31,30268.011082
52,A07,30788.916956
53,C29,315453.305
54,NRN,10304.392608
55,P04,15548.569727
56,T70,128396.469751
57,T29,6846.195
58,C57,10068.94914
59,B02,4304.95
60,C19,16114.145037
61,A16,15151.471304
62,C54,3917.624615
63,A01,170480.954
64,G01,6273.37
65,T47,5198.33
66,C36,12287.35
67,C50,3619.110598
68,C58,53011.184444
69,C06,3166.875
70,C23,8509.487588
71,B12,6505.872352
72,C25,8555780.036
73,C48,722.863333
74,G25,8415.88
75,NSV,968.042811
76,A08,10528.489139
77,W07,1950.51
78,C60,35314.846538
79,S13,65950.931927
80,C39,9522.43
81,T71,45111.218395
82,S14,48929.591363
83,T80,59328.31
84,C46,5975.77
85,NIP,1194.971625
86,NRP,7176.277674
87,T34,1239.335752
88,T30,50261.873695
89,T52,9799.925294
90,C63,10804.033656
91,A06,2362.59
92,T48,11625.62
93,B20,2446.2
94,P08,14738.69875
95,Z05,27514.46
96,B21,2878.22
97,T13,4714.78
98,C16,51534.970042
99,RCP,21511.406846
100,T50,37478.372083
101,T11,130750.631666
102,T24,73967.093636
103,T42,3283.41
104,C43,15219.037631
105,C51,20224.038888
106,Z02,41654.34459
107,Z01,82616.551148
108,T45,35019.58
109,T14,6526.32
110,ID9,4620.525
111,E10,129689.6
112,C03,9579.631
113,NTS,1742.654831
114,B04,11000.576296
115,C26,90806.438139
116,NCL,2490.362986
117,B13,3920.156
118,C37,2387.928888
119,C66,26921.463
120,C56,8413.720322
121,P00,750.104041
122,T76,32978.245102
123,T63,5642.305
124,E17,63679.362
125,INC,3804.399642
126,W03,6268.103333
127,T72,6467.174375
128,B56,13980.646
129,A50,283905.92
130,T01,1693.705833
131,C20,58182.994739
132,T54,24820.229545
133,E14,47930.96901
134,F10,29952.91375
135,S18,46076.62935
136,A05,1332924.584615
137,T28,1412.016666
138,T33,1498.223313
139,C42,56559.824646
140,C21,178397.068189
141,A03,33346.453012
142,C08,10549.708461
143,C11,131365.576133
144,C47,8438.413333
145,B11,1165.32
146,P11,1341.87
147,C34,7778.57
148,C13,40702.494989
149,C02,10163.50925
150,B50,1300.279814
151,A10,4195.762857
152,C30,268314.486153
153,Z03,10267.338
154,C27,80045.768
155,T31,6805.31
156,C12,9344.37
157,P50,4562.340181
158,F09,3450.098333
159,B64,124917.045869
160,C28,187617.908
161,F23,12185.17
162,T40,1114.510048
163,A09,75654.999134
164,C67,7193.211526
165,C53,4099.799335
166,C01,336963.001682
167,C24,24390.13
168,T26,11865.77
169,P06,6816.623603
170,P16,1977.730107
171,E18,12507.83
172,W01,1348.235
173,A02,58470.98
