,ILART_MaintenanceActivityTypeID,AverageCost
0,C44,13533.82418
1,T10,179438.207142
2,T25,36506.29962
3,C07,12590.0825
4,T58,385.278857
5,C52,7889.462573
6,C14,36976.895707
7,C10,2855.784517
8,T46,486.86948
9,T32,3859.628888
10,T27,19484.759375
11,C29,300431.719047
12,T29,4564.13
13,C57,5838.84134
14,C54,1958.812307
15,C19,14093.407557
16,T47,5198.33
17,C50,1385.652626
18,C23,7234.61835
19,C06,1583.4375
20,C25,8555780.036
21,C48,309.798571
22,T48,11625.62
23,C43,10709.693148
24,C51,9785.825268
25,T42,2188.94
26,T11,130750.631666
27,T24,41371.425254
28,T45,26264.685
29,B57,0.0
30,C26,37787.195225
31,B04,5034.162033
32,C03,8708.755454
33,C37,2387.928888
34,T44,0.0
35,T54,8940.476229
36,C20,46810.311034
37,T28,1059.0125
38,C47,8438.413333
39,C08,9796.157857
40,C02,7684.159588
41,B50,88.599507
42,C13,32867.894747
43,C30,249149.165714
44,T40,174.807858
45,C53,3162.873298
46,C01,289146.202471
47,C67,2905.273405
48,T26,7910.513333
