,AUFNR_Order,KTEXT_OrderDescr,ILART_MaintenanceActivityTypeID,GSTRP_BasicStartDateID,GLTRP_BasicFinishDateID,ActualCost,FLOC_STRNO_FunctionalLocation,FLOC_PLTXT_FunctionalLocationDescr,FLOC_EARTX_TechnicalObjectTypeDescr,FLOC_STORT_LocationDescr
0,600001479,C01 BLA-MAL 160.600km-161.400km,C01,20210701,20220630,0.0,,,,
1,80104378,COMMSUP_CWL_CableLoca_01/07/21,T58,20210701,20210701,2718.48,ST009200,Rocklands OC2 631.470Km,Lvl5 Feature Locatio,Midgee-Rocklands
2,50410965,Rail Grinding Mainline Blackwater - C25,C25,20210701,20230630,16295493.29,,,,
3,50410966,Rail Grinding Turnouts Blackwater - C26,C26,20210701,20230630,5732389.7,,,,
4,50410969,Rail Grinding Mainline Newlands - C25,C25,20210701,20230630,4328646.57,,,,
5,50410970,Rail Grinding Turnouts Newlands - C26,C26,20210701,20230630,923853.47,,,,
6,80105055,Cable Location Callemondah-Byelle,T54,20210701,20220630,915.69,,,,
7,80105057,Cable Location Raglan,T54,20210701,20220630,0.0,,,,
8,80105058,Transmission - Marmor Building,T54,20210701,20220630,38092.17,,,,
9,57052049,Earlsfield - Dakenba - C57,C57,20210701,20210702,3797.93,MA-02ML,EARLSFIELD-DAKENBA,Main Line,
10,50410937,FY22 Ultrasonic Test Ontrack RTI MA,C30,20210701,20220630,20865.63,MA-01CR,MOURA SHORT LINE,Corridor Objects,
11,50411064,FY22 TSR Management MA Gladstone,C50,20210701,20220630,51346.45,MA-01CR,MOURA SHORT LINE,Corridor Objects,
12,50411062,FY22 MMY Chase Team MA Gladstone,C50,20210701,20220630,46518.21,MA-01CR,MOURA SHORT LINE,Corridor Objects,
13,50411087,FY22 MMY Chase Team MA Engineering,C50,20210701,20220630,5466.76,MA-01CR,MOURA SHORT LINE,Corridor Objects,
14,50411028,FY22 Closure Rail Testing MA Gladstone,C54,20210701,20220630,0.0,MA-01CR,MOURA SHORT LINE,Corridor Objects,
15,50411090,FY22 NAM Inspections MA Engineering,C50,20210701,20220630,53003.71,MA-01CR,MOURA SHORT LINE,Corridor Objects,
16,50411063,FY22 RTI Chase Team MA Gladstone,C50,20210701,20220630,26646.21,MA-01CR,MOURA SHORT LINE,Corridor Objects,
17,50411089,FY22 TSR Management MA Engineering,C50,20210701,20220630,3691.58,MA-01CR,MOURA SHORT LINE,Corridor Objects,
18,50411018,FY22 Grease Purchases MA Gladstone,C52,20210701,20220630,0.0,MA-01CR,MOURA SHORT LINE,Corridor Objects,
19,50410954,FY22 Fire & Vegetation MA Gladstone,C44,20210701,20220630,77839.48,MA-01CR,MOURA SHORT LINE,Corridor Objects,
20,50411088,FY22 RTI Chase Team MA Engineering,C50,20210701,20220630,0.0,MA-01CR,MOURA SHORT LINE,Corridor Objects,
21,50410982,FY22 Track Geometry Recording MA,C29,20210701,20220630,166232.0,MA-01CR,MOURA SHORT LINE,Corridor Objects,
22,80105907,OH-LX-Magazine Rd-Eng Supp,T24,20210701,20220630,2567.22,,,,
23,50412208,Cable Inspecting,T58,20210701,20220630,0.0,,,,
24,80103780,FY22 BCD Inspections & Planning,C01,20210701,20220630,146101.55,,,,
25,50414613,MMY Car Corrective Blackwater,T25,20210701,20220630,0.0,,,,
26,50410964,FY22 Rail Grinding Turnouts,C26,20210701,20220630,0.0,,,,
27,50413575,FY22 BW Ballast Fouling Working Group,C02,20210701,20220630,11890.01,,,,
28,50412672,VERTIV UPS Maintenance,T28,20210701,20220630,1450.27,,,,
29,50413578,FY22 NL Ballast Fouling Working Group,C02,20210701,20220630,13474.59,,,,
30,50411152,OH CM Blackwater,T25,20210701,20220630,50674.88,,,,
31,50412673,VERTIV UPS Maintenance,T28,20210701,20220630,1456.21,,,,
32,50413577,FY22 MA Ballast Fouling Working Group,C02,20210701,20220630,11889.99,,,,
33,50412175,Cable Procurement,T58,20210701,20220630,0.0,,,,
34,50411155,OH PM Goonyella,T24,20210701,20220630,661775.49,,,,
35,50413576,FY22 GA Ballast Fouling Working Group,C02,20210701,20220630,11890.01,,,,
36,80104988,SC-PR-Deepsea Genset ControllerProc FY22,T54,20210701,20220630,0.0,,,,
37,50410963,FY22 Rail Grinding Mainline,C25,20210701,20220630,100.41,,,,
38,80104899,SC-IU-Calle Stage 1B-Cable Works Supervi,T54,20210701,20230630,203560.65,,,,
39,50411077,FY22 TSR Management NL Merinda,C50,20210701,20220630,33073.98,NL-01CR,NEWLANDS LINE,Corridor Objects,
40,50411153,OH PM Blackwater,T24,20210701,20220630,135311.61,,,,
41,50410938,FY22 Ultrasonic Test Ontrack RTI NL,C30,20210701,20220630,100541.71,NL-01CR,NEWLANDS LINE,Corridor Objects,
42,50411029,FY22 Closure Rail Testing NL Merinda,C54,20210701,20220630,1783.91,NL-01CR,NEWLANDS LINE,Corridor Objects,
43,50411154,OH CM Goonyella,T25,20210701,20220630,359737.1,,,,
44,600001295,Wycarbah 11AB C13,C13,20210701,20220630,0.0,TO000700,35.991KM 11A/B TURNOUT WYCARBAH,Electrical Turnout,Wycarbah
45,50414612,MMY Car Corrective Goonyella,T25,20210701,20220630,0.0,,,,
46,50411091,FY22 MMY Chase Team NL Engineering,C50,20210701,20220630,24121.69,NL-01CR,NEWLANDS LINE,Corridor Objects,
47,50412807,Transformer Oil Sampling PowerLink ESamp,T27,20210701,20220630,82005.0,,,,
48,50411076,FY22 RTI Chase Team NL Merinda,C50,20210701,20220630,77623.86,NL-01CR,NEWLANDS LINE,Corridor Objects,
49,80105054,Cable Location Marmoor,T54,20210701,20220630,2812.34,,,,
